64,128,21.97095,2,0
69,147,21.7079077505,2,0
67,130,20.3606932502,2,1
66,130,20.9823581267,2,1
73,169,22.2966593357,2,0
69,110,16.2440126024,1,0
72,198,26.8533833333,3,0
66,121,19.5297333333,2,0
64,121,20.7694136719,2,0
68,125,19.0060121107,2,1
69,169,24.956710271,2,0
68,143,21.7428778547,2,1
66,143,23.0805939394,2,1
71,172,23.9889126761,2,0
65,112,18.6376058698,2,1
66,123,19.852538843,2,1
64,139,23.8590785156,2,0
64,110,18.8812851562,2,0
73,176,23.2201896041,2,0
66,132,21.3051636364,2,1
62,101,18.4729735692,1,1
67,143,22.3967625752,2,0
60,101,19.7250306667,2,1
67,136,21.300417554,2,1
73,176,23.2201896041,2,0
64,121,20.7694136719,2,1
66,147,23.7262049587,2,1
71,172,23.9889126761,2,1
68,132,20.0703487889,2,1
62,128,23.4112932362,2,0
62,125,22.862591051,2,1
64,99,16.9931566406,1,1
66,141,22.7577884298,2,0
61,99,18.7057160978,2,1
72,156,21.1572111111,2,1
70,114,16.3571480816,1,1
72,185,25.0902824074,3,0
71,183,25.5230873239,3,0
62,128,23.4112932362,2,1
64,103,17.6797488281,1,1
72,180,24.4121666667,2,1
68,183,27.8248017301,3,1
68,132,20.0703487889,2,1
69,176,25.9904201638,3,1
66,106,17.108692011,1,0
62,117,21.3993852237,2,1
70,143,20.5181769796,2,0
64,165,28.3219277344,3,1
61,110,20.7841289976,2,1
68,176,26.7604650519,3,0
70,150,21.5225632653,2,0
70,165,23.6748195918,2,1
71,178,24.8257352113,2,1
78,165,19.0674911243,2,0
63,110,19.4854482237,2,0
67,156,24.4328319002,2,1
69,163,24.0706732199,2,0
71,176,24.5467943662,2,0
69,121,17.8684138626,1,0
66,134,21.627969146,2,1
72,154,20.8859648148,2,0
65,123,20.4680850178,2,1
63,132,23.3825378685,2,0
64,121,20.7694136719,2,0
68,132,20.0703487889,2,0
63,119,21.0797121693,2,0
73,198,26.1227133046,3,0
61,123,23.2404351518,2,0
67,176,27.5652462464,3,0
69,152,22.4462719597,2,0
67,108,16.9150374694,1,1
69,165,24.3660189036,2,0
66,145,23.403399449,2,1
75,227,28.3727965867,3,1
66,112,18.0771085399,1,0
66,130,20.9823581267,2,1
72,136,18.4447481481,1,0
66,136,21.9507746556,2,0
70,145,20.8051444898,2,0
64,172,29.5234640625,3,1
64,121,20.7694136719,2,1
70,220,31.5664261224,4,0
66,158,25.5016352617,3,1
66,114,18.3999140496,1,1
68,132,20.0703487889,2,1
62,106,19.3874772112,2,1
76,174,21.1797523546,2,0
67,161,25.2159354867,3,0
